# TIER 2 — every factual assertion in the clause-5 surface that carries NEITHER a citation
# NOR a hedge, enumerated. UNEVIDENCED, never FALSE: many of these are certainly true.
# Scope of both citation and hedge is the containing BLOCK, so this is a FLOOR.
# columns: path:line-range <TAB> block-kind <TAB> sentence
corpus/services/chronos.md:71-71	table-row	| Completed | `completed_at IS NOT NULL` |
corpus/services/chronos.md:72-72	table-row	| Cancelled | `cancelled_at IS NOT NULL` |
corpus/services/chronos.md:78-78	paragraph	**Service**: `ChronosService` (Connect RPC)
corpus/services/chronos.md:99-99	paragraph	When a timer fires, Chronos publishes a `TimerWentOff` event to Redis Streams:
corpus/services/chronos.md:118-118	paragraph	**Consumers**: Any service subscribed to the Chronos Redis Stream can react to timer events.
corpus/services/chronos.md:122-124	bullet	**Upstream Consumers**: *   **Jobsimulation**: Schedules simulation timeouts, deadline reminders *   Any service needing delayed/scheduled events
corpus/services/chronos.md:125-127	bullet	**Downstream Dependencies**: *   **PostgreSQL**: Timer persistence *   **Redis**: Event publishing via Redis Streams
corpus/services/chronos.md:158-158	bullet	**Batch & Locking**: Each tick fetches up to 10 due timers (`LIMIT 10`) selected with `FOR UPDATE SKIP LOCKED`, so multiple instances never double-fire the same timer; the due window is `scheduled_at < now() + interval '1 second'`.
corpus/services/chronos.md:165-168	bullet	**Prerequisites**: *   PostgreSQL running with `chronos` schema *   Redis available for pub/sub *   Environment variables: `DB_CONNECTION`, `REDIS_ADDR`
corpus/services/chronos.md:198-198	table-row	| `PORT` | HTTP server port | `8080` |
corpus/services/chronos.md:199-199	table-row	| `RPC_PORT` | RPC server port | `8081` |
corpus/services/chronos.md:200-200	table-row	| `DB_CONNECTION` | PostgreSQL connection string | `postgres://...?search_path=chronos` |
corpus/services/chronos.md:201-201	table-row	| `REDIS_ADDR` | Redis server address | `localhost:6379` |
corpus/services/chronos.md:202-202	table-row	| `REDIS_STREAMS_INDEX` | Redis DB index for streams | `2` |
corpus/services/chronos.md:203-203	table-row	| `SENTRY_DSN` | Sentry error tracking | `https://...@sentry.io/...` |
corpus/services/chronos.md:214-214	paragraph	**Scheduling a simulation timeout** (from Jobsimulation service):
corpus/services/clerk-integration.md:3-6	paragraph	**Single source of truth for how the Anthropos platform uses Clerk.** Other docs mention Clerk in their own context (per-service usage, ops/webhook setup); this page is the cross-cutting picture — what Clerk is used for, how, which repos depend on it, and how each one integrates.
corpus/services/clerk-integration.md:18-18	table-row	| **Authentication** | ✅ | Issues session JWTs; verified platform-wide against Clerk's JWKS.
corpus/services/clerk-integration.md:19-19	table-row	| **Identity / profile** | ✅ | User id (internal `eid` + Clerk subject), email, first/last name. |
corpus/services/clerk-integration.md:20-20	table-row	| **Organizations & membership** | ✅ | Clerk Organizations are the source of truth for which org a user belongs to. |
corpus/services/clerk-integration.md:22-22	table-row	| **Authorization (backend)** | ⚠️ indirect | Backend permission decisions are made by **Sentinel**, not Clerk.
corpus/services/clerk-integration.md:22-22	table-row	Clerk org roles are *synced into* Sentinel at webhook time, then Sentinel decides. |
corpus/services/clerk-integration.md:23-23	table-row	| **Authorization (frontend/standalone)** | ✅ direct | next-web-app, studio-desk, and ant-academy read Clerk's `org:admin` / membership **directly** to allow/deny features (no Sentinel). |
corpus/services/clerk-integration.md:25-25	paragraph	**One-line answer to "auth only, or authz too?"** — Clerk handles **authentication + identity + organization/role management** everywhere.
corpus/services/clerk-integration.md:25-25	paragraph	It is **not** the backend authorization engine (Sentinel is, fed by Clerk via sync), but the **frontend/standalone apps authorize directly off Clerk org roles/membership**.
corpus/services/clerk-integration.md:29-29	paragraph	Clerk's catalog is large; the platform uses a **focused subset**.
corpus/services/clerk-integration.md:32-32	bullet	**Authentication** — session JWT + JWKS verification (backend).
corpus/services/clerk-integration.md:32-32	bullet	Sign-in/up UI: prebuilt `<SignIn>` / `<SignUp>` + `<UserProfile>` (next-web-app), `<SignIn>` (ant-academy web); studio-desk delegates to the web app; ant-academy mobile uses a custom email+password form.
corpus/services/clerk-integration.md:33-33	bullet	**Session JWT as the API bearer** — `getToken()` is called with **no template** (the default token); the custom claims are baked into that default token via dashboard config.
corpus/services/clerk-integration.md:34-34	bullet	**Organizations + memberships** — active org, `setActive`, `publicMetadata.eid` → tenant id (core to multi-tenancy).
corpus/services/clerk-integration.md:35-35	bullet	**Org roles** (`admin` / `basic_member`) — coarse RBAC gating; synced into Sentinel.
corpus/services/clerk-integration.md:36-36	bullet	**Org invitations** — backend create/revoke (+ a hand-rolled bulk call); frontend list/accept.
corpus/services/clerk-integration.md:37-37	bullet	**Webhooks** (svix, 12 event types) — Clerk → Postgres + Sentinel sync.
corpus/services/clerk-integration.md:38-38	bullet	**Backend API** — org/membership/invitation CRUD, user-create CLI, `external_id` + metadata write-back, lookups.
corpus/services/clerk-integration.md:39-39	bullet	**User/org metadata** — `unsafeMetadata` (trial/stripe flags), `publicMetadata` (eid, isHiring, role).
corpus/services/clerk-integration.md:41-41	bullet	**Localization** — 8 locales (`@clerk/localizations`).
corpus/services/clerk-integration.md:43-44	paragraph	**Not used** (available but untouched) MFA / TOTP / passkeys · OAuth / social / SAML / Enterprise SSO (mobile is email+password only) · device & multi-session management · Clerk Billing (billing is Stripe) · custom org **permissions** / `has()` / `<Protect>` (only coarse admin/member) · Clerk-native impersonation / Actor Tokens · Waitlist / GoogleOneTap / Web3 · `@clerk/themes` · most prebuilt components (`<UserButton>`, `<OrganizationSwitcher>`, `<OrganizationProfile>`, … — org UI is custom).
corpus/services/clerk-integration.md:46-46	paragraph	**⚠️ Caveat:** ant-academy **mobile sign-in aborts on any second factor** (`ClerkSignInForm.tsx`), so enabling MFA in the Clerk dashboard would **break mobile login**.
corpus/services/clerk-integration.md:57-61	paragraph	A Clerk **sign-in token** (Backend API `POST /v1/sign_in_tokens`) is a one-shot ticket that a browser exchanges via `signIn.create({ strategy: 'ticket' })` for a **genuine session as the named user** — no password, no 2FA, no CAPTCHA.
corpus/services/clerk-integration.md:57-61	paragraph	Measured across the whole clone set with three independent instruments (`/usr/bin/grep -rn`, per-clone `git grep`, and a Python `os.walk`, per rule 44 — all three agree):
corpus/services/clerk-integration.md:71-74	paragraph	**Sites 2–5 mint a session for an arbitrary user found by email** (`users.getUserList({ emailAddress })` then `createSignInToken({ userId })`) — none of them is admin-scoped, and none of them is "admin impersonation".
corpus/services/clerk-integration.md:71-74	paragraph	Sites 2, 4 and 5 hard-404 outside local dev, so a **production-scoped** reading of the old sentence was defensible; the sentence was not production-scoped, and site 3 is not `NODE_ENV`-gated at all.
corpus/services/clerk-integration.md:108-108	bullet	Verifies the session JWT against Clerk's **JWKS** (`clerk-sdk-go/v2` `jwt.Verify` + `jwks.Client`, 1-minute leeway), then `jwt.Decode`s the claims.
corpus/services/clerk-integration.md:112-112	paragraph	To avoid Clerk API round-trips, the platform puts custom claims on the Clerk session token; `authn` reads them:
corpus/services/clerk-integration.md:116-116	table-row	| `eid` | `User.ID()` — internal Anthropos UUID (Clerk `external_id`) |
corpus/services/clerk-integration.md:117-117	table-row	| (JWT subject) | `User.AuthID()` — Clerk user id |
corpus/services/clerk-integration.md:118-118	table-row	| `email`, `firstname`, `lastname` | profile (lazy `user.Client.Get` fallback if absent) |
corpus/services/clerk-integration.md:119-119	table-row	| `org` (public-metadata map, its `eid`) | `Organization.ID()` — internal org UUID |
corpus/services/clerk-integration.md:120-120	table-row	| `org_id` | `Organization.AuthID()` — Clerk org id |
corpus/services/clerk-integration.md:121-121	table-row	| `org_role` | `Organization.AuthRole()` — returned **verbatim**.
corpus/services/clerk-integration.md:121-121	table-row	The backend session token carries the **bare** form (`admin` / `basic_member`); only the client-side `useAuth().orgRole` is prefixed (`org:admin`).
corpus/services/clerk-integration.md:123-123	paragraph	`AuthRole()` is **exposed as a getter and never enforced inside `authn`** — consumers decide what to do with it.
corpus/services/clerk-integration.md:130-130	table-row	| **Sentinel** | not used at all (no Clerk/authn import) | Sentinel's own Casbin policy store |
corpus/services/clerk-integration.md:131-131	table-row	| storage, messenger | — | no auth |
corpus/services/clerk-integration.md:132-132	table-row	| **next-web-app / studio-desk / ant-academy** | authenticate **and** authorize | **local app code** reading Clerk `org:admin` / membership |
corpus/services/clerk-integration.md:135-135	paragraph	The **backend `app`** receives **svix-verified Clerk webhooks** (`user.*`, `organization.*`, `organizationInvitation.*`, `organizationMembership.*`).
corpus/services/clerk-integration.md:137-137	bullet	**translates the Clerk role** (`admin` / `basic_member`) and **pushes it into Sentinel** (`OrgAddUserToRole` / `OrgReplaceUserRole` / `OrgRemoveUserFromRole`).
corpus/services/clerk-integration.md:143-143	paragraph	Clerk ships a **separate package per framework** (Go, Next.js, Express, browser-JS, Expo).
corpus/services/clerk-integration.md:143-143	paragraph	Each is a **thin adapter over Clerk's shared core** — one server-side core and one browser-side core — **not** a separate auth implementation.
corpus/services/clerk-integration.md:147-147	table-row	| **colony** (`/authn`) — the shared auth core; among the live Go services, imported by **`app` only** | `clerk-sdk-go/v2` | Verifies the session JWT (JWKS) + reads claims. sentinel / storage / messenger import it **0** times. |
corpus/services/clerk-integration.md:148-148	table-row	| **app** (backend) | `clerk-sdk-go/v2`, `svix-webhooks/go` | Authn (via colony) + org/membership/invitation Backend-API writes + svix-verified webhook sync → Postgres + Sentinel.
corpus/services/clerk-integration.md:148-148	table-row	Also carries the folded jobsimulation + cms domains, which authenticate through the same middleware. |
corpus/services/clerk-integration.md:150-150	table-row	| **storage, messenger** | — | No Clerk / no auth. |
corpus/services/clerk-integration.md:151-151	table-row	| **sentinel** | — | Does **not** use Clerk; pure Casbin authorization. |
corpus/services/clerk-integration.md:152-152	table-row	| **next-web-app** — `apps/web`, `apps/hiring`, `apps/integration` | `@clerk/nextjs` (+ `@clerk/localizations`) | Next.js App Router auth: `clerkMiddleware` route protection, `useAuth().getToken()` bearer, org/role gating (see deep-dive). |
corpus/services/clerk-integration.md:153-153	table-row	| **next-web-app** — `apps/mobile` | `@clerk/clerk-expo` | Expo / React Native session (paused PoC). |
corpus/services/clerk-integration.md:154-154	table-row	| **next-web-app** — `e2e` | `@clerk/testing`, `@clerk/backend` | **Test-only**: Playwright bypass token + programmatic user/session seeding. |
corpus/services/clerk-integration.md:155-155	table-row	| **studio-desk** | `@clerk/clerk-js` (frontend), `@clerk/express` (backend) | Vanilla-TS browser SDK + Express middleware; admin tooling gated on the `STUDIO_ACCESS_ROLES` set — `org:admin` **and** `content_creator`. |
corpus/services/clerk-integration.md:157-157	table-row	| **ant-academy** — mobile | `@clerk/clerk-expo` | Expo session-only gate (custom email+password form). |
corpus/services/clerk-integration.md:163-163	paragraph	Clerk credentials live in `platform/.env` (backend) and each app's own env. The shapes:
corpus/services/clerkenstein.md:12-18	paragraph	**This is a pointer.** The full, self-contained documentation now lives **in the `clerkenstein/` section's own knowledge base** (added in M2b): start at `.agentspace/rosetta-extensions/clerkenstein/knowledge/kb-index.md` — the **authoring copy**, per *One monorepo, two clone roles* below; a stack's pinned-tag clone carries the same tree at `stack-demo/rosetta-extensions/clerkenstein/…`.
corpus/services/clerkenstein.md:20-25	paragraph	**One monorepo, two clone roles.** `rosetta-extensions` is ONE private monorepo with sections (`clerkenstein`, `demo-stack`, `stack-injection`, `stack-core`, `stack-seeding`, `alignment`).
corpus/services/clerkenstein.md:20-25	paragraph	It is authored / built / tested / aligned in the **authoring copy** at `.agentspace/rosetta-extensions/`, then **tagged**, and consumed by each stack via that stack's own **pinned-tag** clone (`stack-demo/rosetta-extensions @ <tag>`).
corpus/services/clerkenstein.md:29-32	paragraph	Clerkenstein is a **drop-in mock of the Clerk library** the platform uses — the *same interface*, with all security and sync **disarmed**.
corpus/services/clerkenstein.md:29-32	paragraph	It lets **demo** environments create users / orgs / admins and log in/out with no Clerk friction (one universal credential, no live API, no webhooks, no rate limits), while platform repos keep "thinking" they use Clerk with **zero source changes**.
corpus/services/clerkenstein.md:34-35	paragraph	It is the **first mirror produced by the M0 alignment process** (not a hand-built mock): its fidelity is *measured* as a 0–100% alignment score against a Clerk **Alignment DNA**.
corpus/services/clerkenstein.md:84-90	paragraph	Those goldens are **hand-authored / hybrid** (decision M1-D1) — the reference behavior derived from the real libraries' documented + observed semantics (and, for `@clerk/express`, confirmed by driving the *genuine* SDK), **not** captured from a live, network-connected real-Clerk tenant.
corpus/services/clerkenstein.md:84-90	paragraph	So 100% means "the mirror reproduces the behavior we encoded as the reference," not "diffed byte-for-byte against a running Clerk instance." Re-capturing goldens against a live source on a Clerk version bump is the M1b drift loop's job. This is the right bar for a *demo* mock; it is not a conformance certificate against production Clerk.
corpus/services/clerkenstein.md:94-95	paragraph	The `clerkenstein/` section is organised **one dir per mocked dependency** (M2b reorg, decision M2b-D2) — every dir below is a subdir of `rosetta-extensions/clerkenstein/`, not a repo root:
corpus/services/clerkenstein.md:100-100	table-row	| `clerk-backend/` | `clerk-sdk-go/v2` | fake Backend API + the in-memory org store, merged |
corpus/services/clerkenstein.md:101-101	table-row	| `clerk-frontend/` | `@clerk/clerk-js` + `@clerk/nextjs` | fake Frontend API + publishable-key codec — **mints** JWTs |
corpus/services/clerkenstein.md:104-104	table-row	| `deploy/` | `colony/authn/provider/clerk` | the disarmed provider drop-in — **deployable** into a vendored colony fork (compiles against real `colony`, **pinned `v0.34.3` — behind `app`'s `v0.35.2`**, see the ⚠️ below) |
corpus/services/clerkenstein.md:105-105	table-row	| `cmd/` | — | standalone binaries: `mintpk` (authoritative publishable-key minter) · `fake-fapi` / `fake-bapi` (standalone fake servers for demos; `fake-fapi` loads `FAKE_FAPI_ROSTER` for M37 multi-identity) |
corpus/services/clerkenstein.md:106-106	table-row	| `alignment/` | — | the measurement harness: `cmd/{clerkrun,jsfapirun,multirun,expressrun,deployrun}` + `dna/` (five) + `golden{,-js,-multi,-express,-deploy}/` + `scripts/` |
corpus/services/clerkenstein.md:108-110	paragraph	The browser-login → backend-verify coherence chain runs through `shared`: `clerk-frontend` mints the HS256 universal-key JWT, `authn` verifies that exact token — pinned by the JS DNA's `SessionToken/decoded-identity` gene (operator `exact`).
corpus/services/clerkenstein.md:121-121	table-row	| `@clerk/express` · next-web SSR | `GET /v1/users/{userID}/organization_memberships` | `clerk-backend/` (registered since M2) |
corpus/services/clerkenstein.md:122-122	table-row	| **clerk-js** (`clerk.user.getOrganizationMemberships()`) | **`GET /v1/me/organization_memberships`** | `clerk-frontend/` (**added `fix/studio`**) |
corpus/services/clerkenstein.md:128-130	bullet	**The paginated envelope, not a bare array** — a `?paginated=true` request answers `{"response":{"data":[…],"total_count":N},…}`, because clerk-js destructures `{ data, total_count }` straight off it. A bare array **is** the *"Cannot destructure property 'data'"* throw.
corpus/services/clerkenstein.md:131-134	bullet	**`limit`/`offset` are honoured** — clerk-js sends `limit=10&offset=0` and pages when `total_count` exceeds what it received, so serving the full list against `limit=10` makes it chase a second page that disagrees with the first.
corpus/services/clerkenstein.md:131-134	bullet	`total_count` always reports the **true** total; an offset past the end is an empty **array** (never `null` — clerk-js maps over it).
corpus/services/clerkenstein.md:151-158	paragraph	**(v1.9 M37)** — `clerk-frontend` now holds a **users/orgs registry** (replacing the single `DefaultDemoUser`) + an **active-seat selection** so a demo can **switch the active browser identity** among the seeded heroes/orgs (the M35 stories roster) — the seat-switch the presenter cockpit's "login as" needs.
corpus/services/clerkenstein.md:151-158	paragraph	Selection is **server-authoritative** (the FAPI holds the active key, so the client view, `/v1/me`, the token mint, and the handshake cookies all resolve the same hero): `?__clerk_identity=<key>` on the handshake (the cockpit's [Login as] deep-link) + the `/v1/demo/{identities,select}` control plane.
corpus/services/clerkenstein.md:151-158	paragraph	Measured by the `clerk-multi-1` DNA (`alignment/cmd/multirun`, 9 genes, 100%/100%) — a *new measured surface* that holds while the existing four stay green.
corpus/services/clerkenstein.md:218-220	bullet	**Producer** — `RosterIdentity` (roster.go) gains `org_name`/`org_slug`, filled in `BuildRoster` from `st.Org.Name` + the single-sourced `orgSlugFor` (the **same** slug rule `OrgSeeder` writes to `public.organizations.slug`, so the roster-carried org and the seeded org can never disagree — #M39-D2).
corpus/services/clerkenstein.md:229-230	paragraph	Alignment held: the **multi-identity** (`clerk-multi-1`) + **JS/FAPI** (`clerk-js-5`) surfaces stay **9/9, 100%/100%** (the `DefaultDemoUser` goldens are unchanged — they take the default-name fallback).
corpus/services/clerkenstein.md:243-248	bullet	**The align-safety rule this pins — CONDITIONAL-EMIT (#M224-D-align).** A new FAPI field is emitted **only when its non-default value applies** (`if u.OrgIsHiring { pm["isHiring"] = true }`, else omit).
corpus/services/clerkenstein.md:243-248	bullet	Conditional-emit keeps every non-hiring org's `public_metadata` **byte-identically `{eid}`** — generalizing the `Picture`/`OrgLogo` `omitempty` pattern to non-string additions.
corpus/services/clerkenstein.md:249-251	bullet	Roster 2/2) — GREEN, no identity gene perturbed (the named `SessionToken/decoded-identity` critical/exact gene unaffected).
corpus/services/clerkenstein.md:252-255	bullet	**BAPI intentionally NOT wired (#M224-D-bapi).** The server derives hiring from the `public.organizations.is_hiring` **DB column**, not Clerk BAPI metadata; a `clerk-backend` change would add Go-SDK align surface for **no render benefit**.
corpus/services/clerkenstein.md:252-255	bullet	Optional, only if a server-side consumer ever reads `organization.publicMetadata.isHiring`.
corpus/services/clerkenstein.md:257-258	paragraph	**`@clerk/express` (M2c) added no new dir** — it's a *consumer* (a Node backend verifier we satisfy), so its support is **additive**: an RS256 path (RS256 minting in `shared/` + a real JWKS from `clerk-frontend/`
corpus/services/clerkenstein.md:259-265	bullet	`@clerk/express` verifies RS256-via-JWKS and rejects HS256, so the RS256 path is additive (the HS256 seams + M1/M2 gates stay green).
corpus/services/clerkenstein.md:259-265	bullet	Its `clerk-express-1` DNA includes the **`dotless-pk-rejected`** gene: `@clerk/backend`'s `assertValidPublishableKey` (run by `clerkMiddleware` on every request) rejects a pk whose decoded FAPI host has **no dot** — which is why the demo pk host is a **dotted** `127.0.0.1` (not `localhost`) and why a MagicDNS FQDN (`billion.taildc510.ts.net`, also dotted) validates natively (v2.2 M213).
corpus/services/clerkenstein.md:267-272	paragraph	**The deployment/injection surface (M3) *did* add `deploy/` + `cmd/`.** Unlike the `authn/` twin (which mocks the standalone `colony/authn` interface), the platform actually consumes `colony/authn/provider/clerk` *inside* the `colony` module.
corpus/services/clerkenstein.md:267-272	paragraph	So the **deployable** drop-in lives in `deploy/colony-authn/`: the disarmed provider — same package, same `Clerk` type, same `NewProvider(apiKey)` signature — compiled against the **real** `colony`, pinned at `v0.34.3`, so an injected demo app accepts Clerkenstein-minted tokens with zero source changes.
corpus/services/clerkenstein.md:292-293	paragraph	Making a demo reachable from another machine on a **Tailscale** tailnet (opt-in via `/demo-up --public-host <magicdns>`) touches three Clerkenstein-adjacent seams — all **gated** so an unset host is byte-identical:
corpus/services/clerkenstein.md:307-308	bullet	**clerk-js egress is overridable.** The FAPI proxies the clerk-js bundle from `cdn.jsdelivr.net` (its one outbound dependency); **`FAKE_FAPI_CLERKJS_CDN`** overrides that base so a locked-down network can point at a mirror.
corpus/services/clerkenstein.md:333-334	paragraph	A fourth seam — **the origins & links emission (M214)** — admits the MagicDNS/HTTPS origin everywhere a browser→backend or cross-surface call is gated, again all gated on the knob:
corpus/services/clerkenstein.md:336-340	bullet	**CORS + redirects → HTTPS MagicDNS.** The injected override appends `https://$HOST:{3000,3001,9000}+off` to the backend's `CORS_EXTRA_ORIGINS` (the `localhost` trio is kept), and emits studio-desk's `CLERK_SIGN_IN_URL`/`WEB_APP_URL` requireAuth fallback at `https://$HOST:3000+off`.
corpus/services/clerkenstein.md:336-340	bullet	**Per-port HTTPS**, because `tailscale serve` preserves the offset port (M213 D-PROXY-2) — the browser origin is `https://$HOST:<offsetport>`, not a port-less 443. One scheme predicate (`browser_scheme`) flips http→localhost / https→MagicDNS uniformly.
corpus/services/clerkenstein.md:341-344	bullet	**The bounded patch tail** rides the **existing** sha-pinned mechanism (never a canonical repo edit): ant-academy's `next dev` `allowedDevOrigins` admits the MagicDNS host (the `ant-academy-dev-origins` demo-patch, env-var indirection so the post-hash stays fixed), and studio-desk's SPA `VITE_CLERK_SIGN_IN_URL` bakes via a gitignored `.env.production.local` overlay (no Dockerfile ARG).
corpus/services/cms.md:96-96	paragraph	The CMS service is the **content layer of the platform** — it owns the authored, versioned, published **CONTENT / DEFINITIONS** and serves them to everyone else.
corpus/services/cms.md:98-98	bullet	**Serves content** to the rest of the platform via GraphQL Federation and internal RPC — **skill paths** (title, description, cover/video, curators a.k.a. "Meet the Experts", library categories, **chapters → steps**, the job-simulation steps inside a chapter, skills-to-verify, settings, versioning — the `skill_paths` Directus collection), **job-simulation blueprints** (the `simulations` collection + `sequences`, roles, tasks, validation criteria), and the **content library** (`library_categories`, `library_macro_categories`, `resource`) — all proxied through Directus with Anthropos-specific business logic on top.
corpus/services/cms.md:99-99	bullet	**Owns the Studio data model** — `StudioDocument` (simulation blueprints), `StudioTask` (generation jobs), and related entities for the content-authoring workflow.
corpus/services/cms.md:102-102	paragraph	Since cms-in-app it rides in the **`app`** image rather than the cms one.
corpus/services/cms.md:117-117	bullet	**Database**: ~~PostgreSQL `cms` schema~~ — **`public`, via `app`'s Ent**.
corpus/services/cms.md:117-117	bullet	The `cms` schema is a legacy husk since cms-in-app v8.0; the similarity + Studio tables moved to `public`
corpus/services/cms.md:190-190	paragraph	CMS acts as a proxy + business-logic layer over Directus:
corpus/services/cms.md:196-196	paragraph	Why this pattern: business rules and validation live in CMS, caching reduces Directus load, and the abstraction makes it easier to swap the storage backend later.
corpus/services/cms.md:200-200	bullet	**GraphQL**: since cms-in-app the schemas live with the rest of app's at `app/internal/web/backend/graphql/graph/schemas/*.graphqls`, served on the `backend` subgraph.
corpus/services/cms.md:200-200	bullet	The Directus webhook receiver moved to `POST /api/webhook/directus` on app's web server and **fails closed** without `DIRECTUS_WEBHOOK_SECRET` (the standalone receiver at `:8090/webhooks/` was unauthenticated).
corpus/services/cms.md:205-205	bullet	Next Web App (GraphQL)
corpus/services/cms.md:206-206	bullet	Studio-Desk (GraphQL for studio entities)
corpus/services/cms.md:214-214	bullet	Directus (content storage)
corpus/services/cms.md:215-218	bullet	PostgreSQL (Ent ORM, **`public` schema** — the cms tables were re-created there at cms-in-app v8.0; the legacy `cms` schema is non-authoritative.
corpus/services/cms.md:219-219	bullet	Redis (cache, Watermill streams)
corpus/services/cms.md:240-244	paragraph	**⚠️ HISTORICAL — `cd cms; make init-studio` is NOT the onboarding path any more.** Since cms-in-app v8.0 the studio-room pipeline is pulled into the **`app`** image by CI via the `additional_repo` mechanism (app v1.360.1) — see the **Studio** bullet of the *Where everything went* list in the banner at the top of this doc (**named, not pinned:** this said `:70-71`, which at M257x iter-120 was the **Events** bullet).
corpus/services/cms.md:240-244	paragraph	Work on this domain in **`app`**, not in the frozen `cms` repo.
corpus/services/cms.md:246-246	paragraph	The Python studio submodule had to be cloned **before** any docker build, otherwise `make up` failed with `"/studio": not found`:
corpus/services/cms.md:317-319	paragraph	**HISTORICAL — this is no longer how the shipped pipeline is refreshed.** Since cms-in-app v8.0 CI pulls `anthropos-studio-room` into the **`app`** image via `additional_repo`; there is no manual sync step, and the `cms` repo is not cloned by `make init`.
corpus/services/coursebuilder.md:3-5	paragraph	**Not a standalone service — a domain of the `app` monolith** (the service the platform calls "backend").
corpus/services/coursebuilder.md:3-5	paragraph	Course Builder ships inside `app`; there is no separate container, repo, or subgraph.
corpus/services/coursebuilder.md:3-5	paragraph	Code lives in `app/internal/coursebuilder/` (the engine) + `app/internal/web/backend/coursebuilder/` (the HTTP/SSE boundary).
corpus/services/coursebuilder.md:34-34	bullet	**Language**: Go (1.26.4) — part of the `app` monolith.
corpus/services/coursebuilder.md:41-47	bullet	**Key engine files**: `service.go` (the state machine + `ProductionConfig(author, grader, translator)` wiring — `TestProductionConfig_WiresPlanner` locks the nil-planner regression), `refine.go` (the load-bearing ≥ 90 loop: keep-best + rollback), `author.go` (single-shot author), `benchmark.go`/`patch.go`/`patchgen.go` (grader + patch machinery), `planner.go`/`path.go` (multi-chapter), `checkpoint.go` (resume), `schema.go` (the Academy chapter shape + validators), `normalize.go` (widget normalization + XSS sanitization), `bedrock.go`/`model.go`/`usage.go` (LLM adapter + `MockClient` + cost formula), `embed.go` (`//go:embed assets/*.md` rubric), `imagegen/` (cover images).
corpus/services/coursebuilder.md:86-94	bullet	⚠️ **`cost` is filtered off the wire BY DESIGN — do not build a client that waits for it.** `case cb.EventCost:` (`:2709`) returns an **empty** event name (`:2717`) under a D2 ruling (2026-07-13) recorded in the code itself: *"the terminal cost readout is COGS and MUST NOT reach the customer SSE stream … filtered here at the wire boundary by returning an empty event name"* — and the stream loop skips `writeSSE` whenever the name is empty (`:1478-1480`).
corpus/services/coursebuilder.md:86-94	bullet	The `EventCost` **kind** still exists internally, consumed by `awaitAndPersist`/`persistTerminal` and the ops surface; it is a wire filter, not a deleted event, which is exactly why grepping the enum finds it and a browser never does.
corpus/services/coursebuilder.md:86-94	bullet	**This bullet previously listed `cost` as a live wire event and omitted four that are live — `text`, `score`, `steering_received`, `steering_applied` (13 listed vs 16 real); corrected M257x iter-102.**
corpus/services/coursebuilder.md:107-110	bullet	**Prerequisites**: it runs **as part of `app`** (no separate binary/container).
corpus/services/coursebuilder.md:107-110	bullet	Needs a model backend — **either** `ANTHROPIC_API_KEY` (the production path) **or** AWS creds resolvable by the default SDK chain (Bedrock, `eu-west-1`) — plus Postgres (migrations applied), Redis (the Asynq worker), and a Clerk secret.
corpus/services/coursebuilder.md:107-110	bullet	The routes unmount only when **neither** backend can build a client; AWS creds alone are not a prerequisite.
corpus/services/coursebuilder.md:111-112	bullet	**Command**: `go run .` in the app repo, or the platform `make up` (Course Builder ships inside the `backend` container).
corpus/services/coursebuilder.md:119-122	bullet	**Operator-only cmd tools** (not in CI, cost money): `cmd/coursebuilder-liverun` (author one course against real Bedrock from a Markdown source; writes `chapter.json` + `run-report.json`) and `cmd/coursebuilder-e2e` (full seed→author→benchmark→publish proof against a **throwaway** Docker Postgres; `assertNotSharedDSN` refuses any shared/prod DSN).
corpus/services/coursebuilder.md:125-125	bullet	**Service Name**: none of its own — it is part of the `backend` service (`docker compose up -d backend`).
corpus/services/coursebuilder.md:132-136	paragraph	The deterministic `MockClient` (FIFO scripted responses, usage/cache accounting) stands in for the Bedrock `ModelClient` — no real LLM in unit tests.
corpus/services/coursebuilder.md:140-144	bullet	**Not behind a global feature flag** — GA to every organization, **org-admin-gated** (`courseBuilderAccessGate`).
corpus/services/coursebuilder.md:140-144	bullet	The only gate is graceful degradation: routes stay unmounted if **neither** model backend can build a client (no `ANTHROPIC_API_KEY` *and* no resolvable AWS creds) — a clean 404, never a half-wired endpoint.
corpus/services/coursebuilder.md:140-144	bullet	Per-sub-feature kill-switches: `COURSEBUILDER_PLANNER_ENABLED`, `CB_SOURCE_DISTILL`, `COURSEBUILDER_EMAILS_ENABLED`.
corpus/services/customerio-sync.md:32-33	paragraph	CustomerIO Sync is the **background data-sync domain** that pushes platform users into the marketing platform as contacts, for marketing automation, lifecycle email campaigns, and product analytics.
corpus/services/customerio-sync.md:35-36	paragraph	It's a one-directional pipeline: PostgreSQL `public` schema → the marketing API. No inbound traffic, no consumers inside the platform.
corpus/services/customerio-sync.md:40-40	bullet	**Live code**: `app/internal/customeriosync/` (`sync.go` the push, `store.go` the read, `sync_query.sql` the query, `doc.go` the port record) + the manual tool `app/cmd/customerio-resync`
corpus/services/customerio-sync.md:41-41	bullet	**Frozen repo**: `git@github.com:anthropos-work/customerio-sync` (private) — not deleted, but not built, cloned or deployed any more
corpus/services/customerio-sync.md:48-48	paragraph	Two things deliberately did not survive as-is, both recorded in `doc.go` rather than buried:
